assign,n_poi,sum_weight,lon,lat
0,375,455.0,24.4420131,48.3525678
1,351,427.0,24.5532391,48.44451389999999
2,295,357.0,24.590242099999998,48.2916918
3,256,330.0,24.5982599,48.11290460000001
4,219,307.0,24.1978374,48.558807099999996
5,150,297.0,23.941643900000003,48.62929849999999
6,277,299.0,24.694203699999996,48.909866
7,164,245.0,24.831109399999995,48.162217
8,112,157.0,23.811453900000004,48.7418442
9,118,118.0,24.988670699999997,48.3322362
10,109,109.0,24.907188,48.510608
11,79,90.0,24.207594299999997,48.9160284
12,115,115.0,24.785161399999996,49.04079399999999
13,62,71.0,24.805238199999998,47.912320099999995
14,81,92.0,23.6862807,49.008063199999995
