id,@id,@relations,admin_leve,boundary,contact_we,katotth,koatuu,name,name_en,name_uk,name_zh,official_n,place,start_date,type,website,wikidata,wikipedia,KAT_CODE,emissions_t,area_km2,intensity_t_km2
relation/10627589,relation/10627589,,7,administrative,,UA26060030000011364,2624855400,Брошнів-Осадська селищна громада,Broshniv-Osada Settlement Hromada,Брошнів-Осадська селищна громада,,,municipality,2017-10-29,boundary,https://broshniv.info/,Q50872021,uk:Брошнів-Осадська селищна громада,UA26060030000011364,1.276105875063463e+17,88.62315505781869,1439923769618581.0
relation/11016718,relation/11016718,,7,administrative,,UA26060070000011203,,Вигодська селищна громада,Vyhoda Settlement Hromada,Вигодська селищна громада,维霍达市镇,,municipality,2018-08-02,boundary,https://vyhoda.info/,Q60697427,uk:Вигодська селищна громада,UA26060070000011203,1.3891227506445194e+17,750.2447889773098,185155934576778.72
relation/11016719,relation/11016719,,7,administrative,,UA26060090000054411,,Витвицька сільська громада,Vytvytsia Rural Hromada,Витвицька сільська громада,,,municipality,2016-09-06,boundary,http://vytvytsya-otg.com.ua/,Q28705829,uk:Витвицька сільська громада,UA26060090000054411,1.406963668022462e+16,154.68687671067326,90955593515153.23
relation/11016803,relation/11016803,,7,administrative,https://dolyna.if.ua/,UA26060130000047466,,Долинська міська громада,Dolyna Urban Hromada,Долинська міська громада,,,municipality,2018-12-27,boundary,,Q63413119,uk:Долинська міська громада (Івано-Франківська область),UA26060130000047466,5.529618235528135e+17,352.158663201989,1570206504434761.2
relation/11017229,relation/11017229,,7,administrative,,UA26060150000074921,,Дубівська сільська громада,Duba Rural Hromada,Дубівська сільська громада,,,municipality,2019-05-16,boundary,,Q66121526,uk:Дубівська сільська громада (Івано-Франківська область),UA26060150000074921,3.339981383396185e+16,92.05624835672887,362819628544209.3
relation/11017747,relation/11017747,,7,administrative,,UA26060250000064599,,Спаська сільська громада,Spas Rural Hromada,Спаська сільська громада,,,municipality,2017-09-12,boundary,,Q50826062,uk:Спаська сільська громада,UA26060250000064599,2.000389965066062e+16,226.78844143134341,88205111003051.19
relation/11030439,relation/11030439,,7,administrative,,UA26060050000042523,,Верхнянська сільська громада,Verkhnia Rural Hromada,Верхнянська сільська громада,,,municipality,2015-08-20,boundary,,Q27522822,uk:Верхнянська сільська громада,UA26060050000042523,6.517977349048254e+16,140.0786263983935,465308485429509.2
relation/11031605,relation/11031605,,7,administrative,,UA26060110000025739,,Войнилівська селищна громада,Voinyliv Settlement Hromada,Войнилівська селищна громада,,,municipality,2017-09-26,boundary,,Q50872379,uk:Войнилівська селищна громада,UA26060110000025739,3.3678290461032068e+16,163.64534695841797,205800476988750.97
relation/11094275,relation/11094275,,7,administrative,,UA26040010000011271,,Більшівцівська селищна громада,Bilshivtsi Settlement Hromada,Більшівцівська селищна громада,,,municipality,2016-12-18,boundary,,Q29554173,uk:Більшівцівська селищна громада,UA26040010000011271,1.1591418169064684e+16,152.65980084154887,75929734646358.12
relation/11797693,relation/11797693,,7,administrative,,UA26060010000037638,,Болехівська міська громада,Bolekhiv Urban Hromada,Болехівська міська громада,,,municipality,,boundary,,Q107296513,uk:Болехівська міська громада,UA26060010000037638,2.6772905297256794e+17,287.4986232752327,931235947924040.5
